time,voltage,current,power,filtered_voltage
4.040404040404040664e+00,4.608706248672898909e+00,1.875491879672133988e-01,8.643591145180244961e-01,4.608706373660290900e+00
4.141414141414140992e+00,4.579312739569564528e+00,1.891909497985042043e-01,8.663645266235562303e-01,4.579312867746049065e+00
4.242424242424242209e+00,4.554207871332430102e+00,1.909429030683745809e-01,8.695936721290566940e-01,4.554208004447175107e+00
4.343434343434343425e+00,4.533647572234083434e+00,1.927871877199710537e-01,8.740291655644832902e-01,4.533647712975079180e+00
4.444444444444444642e+00,4.517841441535610514e+00,1.947050024363303489e-01,8.796463288811452452e-01,4.517841592212842983e+00
4.545454545454544970e+00,4.506950612754534902e+00,1.966767963079289472e-01,8.864126076346192651e-01,4.506950773987896675e+00
4.646464646464646187e+00,4.501086111010393687e+00,1.986824681418550842e-01,8.942868978545689407e-01,4.501086280615279378e+00
4.747474747474747403e+00,4.500307721193782307e+00,2.007015713807721036e-01,9.032188313406137592e-01,4.500307893600345110e+00
4.848484848484848619e+00,4.504623378497161212e+00,2.027135225426544007e-01,9.131480727831523536e-01,4.504623545159935460e+00
4.949494949494949836e+00,4.513989087520583254e+00,2.046978110563835718e-01,9.240036853478655887e-01,4.513989238715332419e+00
5.050505050505050164e+00,4.528309370777000353e+00,2.066342083540643193e-01,9.357036220127965542e-01,4.528309498819108825e+00
5.151515151515151381e+00,4.547438242024931299e+00,2.085029740884954685e-01,9.481543979459576832e-01,4.547438345275522487e+00
5.252525252525252597e+00,4.571180694505974529e+00,2.102850573735392525e-01,9.612509946090038726e-01,4.571180780734564131e+00
5.353535353535353813e+00,4.599294688915515295e+00,2.119622909958710777e-01,9.748770392276747687e-01,4.599294776017011088e+00
5.454545454545454142e+00,4.631493620840543279e+00,2.135175766182426105e-01,9.889052940447226048e-01,4.631493733007534530e+00
5.555555555555555358e+00,4.667449242510588903e+00,2.149350590862289800e-01,1.003198478720988218e+00,4.667449401099874606e+00
5.656565656565656575e+00,4.706795009076382819e+00,2.162002880615120637e-01,1.017610436808801255e+00,4.706795219620656390e+00
5.757575757575757791e+00,4.749129815303044566e+00,2.173003653339513341e-01,1.031987643883712336e+00,4.749130054916700594e+00
5.858585858585858119e+00,4.794022084584568688e+00,2.182240763106880754e-01,1.046171041221506837e+00,4.794022296322724586e+00
5.959595959595959336e+00,4.841014168594690581e+00,2.189620043418352979e-01,1.059998165402716852e+00,4.841014269687971883e+00
6.060606060606060552e+00,4.889627012722468358e+00,2.195066267172746943e-01,1.073305531468373930e+00,4.889626920695244294e+00
6.161616161616161769e+00,4.939365039731416829e+00,2.198523913559340404e-01,1.085931215764850188e+00,4.939364713759716530e+00
6.262626262626262097e+00,4.989721201856370136e+00,2.199957734057464420e-01,1.097717574881442726e+00,4.989720687491816520e+00
6.363636363636363313e+00,5.040182149835140457e+00,2.199353111772904823e-01,1.108514029514216626e+00,5.040181606551286109e+00
6.464646464646464530e+00,5.090233466179955535e+00,2.196716210447904327e-01,1.118179837012193367e+00,5.090233153786414277e+00
6.565656565656565746e+00,5.139364909338778986e+00,2.192073911625704863e-01,1.126586774008614400e+00,5.139365115963676622e+00
6.666666666666666963e+00,5.187075615285610120e+00,2.185473540610195220e-01,1.133621651035104927e+00,5.187076528905056882e+00
6.767676767676767291e+00,5.232879203512825761e+00,2.176982384014333749e-01,1.139188584372238022e+00,5.232880758605230831e+00
6.868686868686868507e+00,5.276308735373202552e+00,2.166687003815636059e-01,1.143210956505203102e+00,5.276310497342850070e+00
6.969696969696969724e+00,5.316921474224453270e+00,2.154692354911494911e-01,1.145633005217618461e+00,5.316922641983263809e+00
7.070707070707070940e+00,5.354303398849609152e+00,2.141120715170305167e-01,1.146420992258367022e+00,5.354302993608941463e+00
7.171717171717171269e+00,5.388073424141790468e+00,2.126110438885837617e-01,1.145563915255122023e+00,5.388070678604623076e+00
7.272727272727272485e+00,5.417887286026129345e+00,2.109814546342616004e-01,1.143073740650264458e+00,5.417882155543094491e+00
7.373737373737373701e+00,5.443441051014539234e+00,2.092399163870780343e-01,1.138985150372270327e+00,5.443434660781922396e+00
7.474747474747474918e+00,5.464474214615625769e+00,2.074041830293096300e-01,1.133354810167082283e+00,5.464468980074279614e+00
7.575757575757575246e+00,5.480772357013411700e+00,2.054929687028809737e-01,1.126260182427372136e+00,5.480771524943972572e+00
7.676767676767676463e+00,5.492169328941911566e+00,2.035257570305097907e-01,1.117797920412649582e+00,5.492175830353119181e+00
7.777777777777777679e+00,5.498548945471937621e+00,2.015226024924814396e-01,1.108081893423794373e+00,5.498563734129476188e+00
7.878787878787878896e+00,5.499846170443055904e+00,1.995039259838910506e-01,1.097240903310858107e+00,5.499866582033158480e+00
7.979797979797979224e+00,5.496047779466161742e+00,1.974903066365181759e-01,1.085416161255727152e+00,5.496066750040488280e+00
8.080808080808081328e+00,5.487192494737767490e+00,1.955022720275783887e-01,1.072758599773909527e+00,5.487199536584959958e+00
8.181818181818181657e+00,5.473370590291676940e+00,1.935600889140412506e-01,1.059426098116355464e+00,5.473355065561622546e+00
8.282828282828281985e+00,5.454722971712230972e+00,1.916835566258456580e-01,1.045580699626502463e+00,5.454679364513851603e+00
8.383838383838384090e+00,5.431439739690891777e+00,1.898918052242386800e-01,1.031385897136572360e+00,5.431373446572957064e+00
8.484848484848484418e+00,5.403758252069780887e+00,1.882031004828858545e-01,1.017004057299512709e+00,5.403689284029500328e+00
8.585858585858586522e+00,5.371960704128421860e+00,1.866346576798474377e-01,1.002594047084600204e+00,5.371922220936815151e+00
8.686868686868686851e+00,5.336371251781132585e+00,1.852024660986936744e-01,9.883091158480387106e-01,5.336400654825097511e+00
8.787878787878787179e+00,5.297352707012248807e+00,1.839211260278593996e-01,9.742950748404219929e-01,5.297475445392485049e+00
8.888888888888889284e+00,5.255302839237141477e+00,1.828036999199267598e-01,9.606888032122454790e-01,5.255512864318177435e+00
8.989898989898989612e+00,5.210650320294303306e+00,1.818615792281728372e-01,9.476170960545066135e-01,5.210895139746146931e+00
9.090909090909089940e+00,5.163850354406750220e+00,1.811043682778994690e-01,9.351958563164417537e-01,5.164030984965059190e+00
9.191919191919192045e+00,5.115380037662525581e+00,1.805397863564042471e-01,9.235296191314075198e-01,5.115374629070218226e+00
9.292929292929292373e+00,5.065733494321479569e+00,1.801735890197226908e-01,9.127113846893220028e-01,5.065446390018283118e+00
9.393939393939394478e+00,5.015416839530570492e+00,1.800095094183704059e-01,9.028227248125317850e-01,5.014842466003110566e+00
9.494949494949494806e+00,4.964943019799676449e+00,1.800492202402318442e-01,8.939341192521137458e-01,4.964218969601597919e+00
9.595959595959595134e+00,4.914826583835951723e+00,1.802923166585640169e-01,8.861054707748798887e-01,4.914237956639421867e+00
9.696969696969697239e+00,4.865578437044807636e+00,1.807363204589493566e-01,8.793867436158843143e-01,4.865472736258162456e+00
9.797979797979797567e+00,4.817700633172055547e+00,1.813767053031261900e-01,8.738186679815324043e-01,4.818284916199321977e+00
9.898989898989899672e+00,4.771681256183113007e+00,1.822069428721479756e-01,8.694334540494557118e-01,4.772702015499813655e+00
1.000000000000000000e+01,4.727989444555315224e+00,1.832185694184709501e-01,8.662554622570559637e-01,4.728335467444353846e+00
